"Tweet id","Tweet permalink","Tweet text","time","impressions","engagements","engagement rate","retweets","replies","likes","user profile clicks","url clicks","hashtag clicks","detail expands","permalink clicks","app opens","app installs","follows","email tweet","dial phone","media views","media engagements","promoted impressions","promoted engagements","promoted engagement rate","promoted retweets","promoted replies","promoted likes","promoted user profile clicks","promoted url clicks","promoted hashtag clicks","promoted detail expands","promoted permalink clicks","promoted app opens","promoted app installs","promoted follows","promoted email tweet","promoted dial phone","promoted media views","promoted media engagements"
"1326208360400756736","https://twitter.com/OldTechAdverts/status/1326208360400756736","#Infocom classic Zork adventures, and Deadline. My favourite will always be Zork I. The puzzles are not too difficult so that I can solve it and progress.
https://t.co/SWfo2wT7aB
#RETROGAMING #8bitlove https://t.co/8N3HqjElkZ","2020-11-10 17:01 +0000","378.0","29.0","0.07671957671957672","1.0","0.0","3.0","2.0","1.0","0.0","1.0","0.0","0","0","0","0","0","21","21","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1326147853501276160","https://twitter.com/OldTechAdverts/status/1326147853501276160","Castle Wolfenstein. The original version was on the Apple II computer back in 1981. When Castle Wolfenstein 3D came out, it really took off. I have spent way too much time on it as well.
https://t.co/PJ0kvZVJHE
#retrogamer #8bitlove https://t.co/AeXI0itK6F","2020-11-10 13:01 +0000","374.0","38.0","0.10160427807486631","4.0","1.0","9.0","0.0","1.0","0.0","0.0","0.0","0","0","0","0","0","23","23","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1326094879961788416","https://twitter.com/OldTechAdverts/status/1326094879961788416","Adventure International Sea Dragon game. Drive your sub and avoid the mines and depth charges.  
https://t.co/7ScFSkf63E
#retrogamer #8bitlove https://t.co/x0hnWACGAI","2020-11-10 09:30 +0000","364.0","16.0","0.04395604395604396","2.0","0.0","5.0","0.0","1.0","0.0","0.0","0.0","0","0","0","0","0","8","8","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1326072148675399680","https://twitter.com/OldTechAdverts/status/1326072148675399680","Halloween 2020 just past. This would have been a great advert for it. A graphical adventure for the Apple II computers.
https://t.co/NnInhesIrG
#RetroGames #advertures #8bitlove https://t.co/YfTPtkESFG","2020-11-10 08:00 +0000","451.0","24.0","0.05321507760532151","2.0","0.0","5.0","0.0","0.0","0.0","1.0","0.0","0","0","0","0","0","16","16","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1325981531496714245","https://twitter.com/OldTechAdverts/status/1325981531496714245","#Pinball sim were pretty cool back in the day. Hayden Software published Bulldog Pinball. The drawing in this advert is really good. 
https://t.co/OOoQe5Fulg
#RetroGames #Atari8bit #8bitlove https://t.co/DcRg4G84xy","2020-11-10 02:00 +0000","464.0","29.0","0.0625","2.0","0.0","2.0","0.0","0.0","0.0","2.0","0.0","0","0","0","0","0","23","23","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1325879793418690564","https://twitter.com/OldTechAdverts/status/1325879793418690564","@yakmiester They were way out of my price range as well. When I got it dialing up BBS, the speed stepped up from 1200 to 2400. Those 2400 modems were super expensive.","2020-11-09 19:15 +0000","13.0","1.0","0.07692307692307693","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1325845941010751490","https://twitter.com/OldTechAdverts/status/1325845941010751490","#Hayes modem was the go to modem back in the day. They were some popular. Reason why the AT commands were sometimes known as the Hayes modem command set.
https://t.co/RhqvadWQF9
#RetroComputing #AppleII #8bitlove https://t.co/jy2e1f2SGD","2020-11-09 17:01 +0000","823.0","54.0","0.06561360874848117","3.0","1.0","7.0","1.0","1.0","0.0","3.0","0.0","0","0","0","0","0","38","38","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1325785403996123136","https://twitter.com/OldTechAdverts/status/1325785403996123136","SubLogic attempts to break into the games market. They were really known for their #FlightSimulator. These three games are strategy games. Any one played them?
For the Apple 8bit computers.
https://t.co/mLrLYcqOWZ
#retrogames  #8bitlove https://t.co/1eN7DvyZA0","2020-11-09 13:00 +0000","389.0","30.0","0.07712082262210797","1.0","0.0","5.0","0.0","0.0","0.0","9.0","0.0","0","0","0","0","0","15","15","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1325732450581045254","https://twitter.com/OldTechAdverts/status/1325732450581045254","Up to 326 disks per hour. That is pretty fast. Looks like all formats are supported. It claims to defeat all forms of illegal copy protection. Really for targeting the software publishers.
https://t.co/nncMpEDxBc 
#RetroComputing https://t.co/LbN93qGmFn","2020-11-09 09:30 +0000","632.0","74.0","0.11708860759493671","5.0","1.0","8.0","1.0","4.0","0.0","10.0","0.0","0","0","0","0","0","45","45","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1325709881568059392","https://twitter.com/OldTechAdverts/status/1325709881568059392","Crush, Crumble and Chomp - Epyx take on the Godzilla computer genre. #Godzilla looks to have a sly grin as he destroys the city. 
For you Apple, Atari and TRS80 computers.  
https://t.co/3TJPHeM4hI
#RetroGaming #8bitlove https://t.co/Bv2UIxcKEC","2020-11-09 08:00 +0000","519.0","44.0","0.08477842003853564","2.0","0.0","8.0","0.0","1.0","0.0","5.0","0.0","0","0","0","0","0","28","28","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
